recording,venue,time,ntime,bell_id,bell_no,peak_value,x0,y0,z0,mean_resultant_length,spherical_variation,sample_variation,az0,el0,start_time,end_time,bell_name,pitch,type
mic_121617_103906,egh,1148,0.030803696000000002,363,363,0.18322262720822688,-0.6845311296964866,-0.5726066214800261,-0.4511527341307842,0.9234840445332172,0.15303191093356538,0.14717721949257068,-140.08769882469878,-26.81766625757864,1146,1150,tBellRes63D#,63,tBellRes
mic_121617_103906,egh,1150,0.0308248,356,356,0.17010491018558765,-0.6322382616446672,-0.5924023943698287,-0.4993337397547089,0.8979539637895042,0.2040920724209916,0.1936786789147178,-136.8630955515203,-29.955930357754067,1148,1152,tBellRes56G#,56,tBellRes
mic_121617_103906,egh,1270,0.03209104,12,12,0.18815782809110093,-0.4648316712578297,0.8334074660424576,-0.29893730603647106,0.9820348277761544,0.0359303444476915,0.0356075970346591,119.15052270281365,-17.393786446974403,1267,1273,cBell60C,60,cBell
mic_121617_103906,egh,1331,0.032734712,12,12,0.1561596712098535,-0.15545005372931944,0.9428987822460282,-0.2945796449765478,1.0,0.0,0.0,99.36179856856893,-17.13233276328245,1330,1337,cBell60C,60,cBell
mic_121617_103906,egh,1337,0.032798023999999995,367,367,0.17819400142496686,-0.5657765107801861,-0.07765162678228736,-0.8208941251510223,0.9414379258058106,0.1171241483883787,0.11369463185445294,-172.18510133072158,-55.17439952274273,1334,1340,tBellRes67G,67,tBellRes
mic_121617_103906,egh,1364,0.033082928,55,55,0.1506886958144285,-0.5028226893788561,0.06846895667480651,-0.8616735721940635,0.9762634335670348,0.04747313286593036,0.04690970827990382,172.24577202231876,-59.50501399539874,1364,1365,tBell55G,55,tBell
mic_121617_103906,egh,1708,0.036712816,367,367,0.20579619987833772,-0.746353788568718,0.07056656144264596,-0.6617978412591586,0.9194018568360978,0.16119628632780447,0.15470022564633554,174.59883156013763,-41.437130939257315,1705,1711,tBellRes67G,67,tBellRes
mic_121617_103906,egh,1723,0.036871096,355,355,0.1571538941369284,-0.5352072786485479,0.04888804247842609,-0.8433048844778758,0.9022051182178688,0.1955897635642625,0.1860259246614815,174.78085055093933,-57.49077056419136,1717,1729,tBellRes55G,55,tBellRes
mic_121617_103906,egh,1737,0.037018824,55,55,0.1755852430424429,0.004070034207164093,0.05893058045599575,-0.9982537861228836,0.8853044566688935,0.2293910866622131,0.21623601900219536,86.04914697663494,-86.61351180772796,1735,1740,tBell55G,55,tBell
mic_121617_103906,egh,1759,0.037250968,177,177,0.15302061431736902,0.7645040318360746,-0.6446179201175389,-0.0011499433569935175,0.9450970771391152,0.10980584572176966,0.10679151478310134,-40.137066417817394,-0.06588691555598347,1758,1761,brassBellDry77F5,77,brassBellDry
mic_121617_103906,egh,1882,0.038548864,12,12,0.164494069489561,0.8676035862384316,-0.24219276519586005,0.4342887076968447,0.880292081462433,0.23941583707513406,0.2250858513145373,-15.5971506864313,25.74004187948268,1871,1888,cBell60C,60,cBell
mic_121617_103906,egh,2282,0.042769664000000006,356,356,0.15052457374475636,-0.6568851795278045,-0.6482328484924292,-0.3850922422642599,1.0,0.0,0.0,-135.3798390475604,-22.649466893851987,2282,2284,tBellRes56G#,56,tBellRes
mic_121617_103906,egh,2491,0.044975032000000005,12,12,0.2784199980414181,-0.6357027436786755,-0.7421518808170519,0.21235020009201025,0.8044761534608322,0.3910476930783355,0.3528181185128635,-130.58226609798024,12.260115633864661,2486,2496,cBell60C,60,cBell
mic_121617_103906,egh,2620,0.04633624,370,370,0.1561570795017518,-0.8168473178502449,0.29508838493422274,0.4956645079060765,0.8526025265976369,0.2947949468047262,0.2730689316393259,160.13760401996996,29.71357828972558,2617,2624,tBellRes70Bb,70,tBellRes
mic_121617_103906,egh,2676,0.046927152,177,177,0.16039932409668287,0.9229592469164668,-0.3305325206004745,-0.1972168384212807,0.9305579694854637,0.1388840610290729,0.1340618654270911,-19.703591149641387,-11.37425430714474,2667,2685,brassBellDry77F5,77,brassBellDry
mic_121617_103906,egh,3079,0.051179608,12,12,0.1566403284593091,-0.7178484064146798,-0.6533651967660915,-0.2404320799367487,0.9214456762677008,0.1571086474645984,0.1509378656875595,-137.69242942062237,-13.912043464460805,3073,3084,cBell60C,60,cBell
mic_121617_103906,egh,3108,0.051485616,8,8,0.16374299912341034,-0.6558091280467395,0.5025000835204423,-0.5633897883637258,0.8161220609500629,0.3677558780998742,0.3339447816306218,142.53961108547335,-34.29054989374668,3105,3113,cBell54G#,54,cBell
mic_121617_103906,egh,3159,0.052023768,360,360,0.15718006765674802,-0.8504353408596709,0.3967694305274158,0.3454471739873488,0.586499579649324,0.827000840701352,0.6560182430711663,154.988661033961,20.209095312607428,3157,3161,tBellRes60C,60,tBellRes
mic_121617_103906,egh,3173,0.052171496,367,367,0.18376437968973228,-0.6984096513429298,-0.1033344278795525,-0.7081990927174736,0.9663486152859472,0.06730276942810587,0.06617035373493263,-171.58376160680066,-45.088576833700245,3169,3177,tBellRes67G,67,tBellRes
mic_121617_103906,egh,3187,0.052319224,355,355,0.1506981282085578,-0.5292713145334846,-0.14428729227804746,-0.8360939258833703,1.0,0.0,0.0,-164.75086959533476,-56.72991763894488,3186,3190,tBellRes55G,55,tBellRes
mic_121617_103906,egh,3200,0.05245639999999999,55,55,0.17193220020239036,-0.42264006082347017,-0.21702894761806385,-0.8799283009898757,0.9070432964896022,0.1859134070207955,0.17727245829327554,-152.81915013270736,-61.63371562584487,3196,3204,tBell55G,55,tBell
mic_121617_103906,egh,3319,0.053712088,12,12,0.20564106505133192,-0.0079434884104258,-0.9107137284330448,0.4129617486347321,0.8953478289024741,0.20930434219505176,0.1983522652796259,-90.49973642112005,24.39102351354839,3315,3323,cBell60C,60,cBell
mic_121617_103906,egh,3378,0.054334655999999995,12,12,0.19856559621176487,0.3355946393308041,-0.7908275692722091,0.5118280900179638,0.8492508525330016,0.3014982949339968,0.27877298947197005,-67.00563257167912,30.785674795992538,3374,3386,cBell60C,60,cBell
mic_121617_103906,egh,4092,0.061868784,12,12,0.23565646093545395,-0.5455415022684406,-0.8375572668520742,-0.02970343491881688,0.8921950010691577,0.21560999786168453,0.2039880800672057,-123.0781412536935,-1.7021318172827786,4086,4099,cBell60C,60,cBell
mic_121617_103906,egh,4184,0.06283956800000001,8,8,0.17920895356049954,0.18268117129014996,0.9816661550153292,0.05439806755279729,0.8357070174796487,0.3285859650407026,0.3015937809352701,79.45824342398656,3.1183189046165194,4179,4196,cBell54G#,54,cBell
mic_121617_103906,egh,4261,0.063652072,12,12,0.1899842849945181,-0.859992425352999,0.460196168499166,0.22052780966162447,0.7398570556892636,0.5202858886214727,0.4526115371468139,151.84802781659556,12.740035676868631,4254,4269,cBell60C,60,cBell
mic_121617_103906,egh,4394,0.065055488,12,12,0.1685931314312108,-0.013734197442214418,-0.9966027680139949,-0.08120526219070599,0.8890171718599609,0.22196565628007825,0.2096484681381168,-90.78954400245924,-4.6578475981871685,4367,4399,cBell60C,60,cBell
mic_121617_103906,egh,4604,0.067271408,12,12,0.2811372985357073,-0.3140382786964142,-0.928333525663658,-0.19893924862197365,0.92737280576185,0.14525438847629998,0.13997967913339404,-108.68973934198263,-11.474936038946137,4599,4611,cBell60C,60,cBell
mic_121617_103906,egh,4673,0.06799949599999999,12,12,0.2383791119131103,0.3016903295439053,0.939031963996512,0.16493003259729025,0.5686247668747988,0.8627504662504024,0.6766658744965808,72.18892967209794,9.493169945306834,4668,4678,cBell60C,60,cBell
mic_121617_103906,egh,4743,0.06873813599999999,370,370,0.1837192216618076,-0.8910326238087474,-0.13708699812480174,0.4327447495390669,0.9230124222342452,0.15397515553150942,0.14804806840127127,-171.25352014047075,25.641875376210248,4740,4746,tBellRes70Bb,70,tBellRes
mic_121617_103906,egh,4765,0.06897028,367,367,0.2240772143345517,-0.4302067229059458,0.00027694617347940665,-0.902730357785393,0.965211948992203,0.06957610201559405,0.06836589352267297,179.96311576770924,-64.51931433146966,4759,4771,tBellRes67G,67,tBellRes
mic_121617_103906,egh,4770,0.06902304000000001,1,1,0.15882202043599794,0.5111091641351224,-0.8569118116486228,0.06685483822560337,0.9415130172900862,0.11697396541982764,0.11355323827331787,-59.185833667919795,3.8333592724758363,4768,4773,cBell49C#,49,cBell
mic_121617_103906,egh,4779,0.06911800800000001,67,67,0.1744994276455608,-0.3904758918019818,-0.5309485846651891,-0.7520785719347942,0.9266016405781934,0.14679671884361326,0.14140939967780053,-126.33190518240735,-48.77075242035163,4771,4788,tBell67G,67,tBell
mic_121617_103906,egh,4779,0.06911800800000001,355,355,0.17141209915566505,-0.4338983062495068,-0.10511587599450893,-0.8948088692272312,0.9504719949404192,0.09905601011916176,0.09660298683397994,-166.3819343963231,-63.483890201870956,4774,4784,tBellRes55G,55,tBellRes
mic_121617_103906,egh,4790,0.06923408,55,55,0.20066157022411887,-0.3711730619967143,-0.17799204083750386,-0.911344825763818,0.9608601196629091,0.07827976067418208,0.07674783044138023,-154.3804550529445,-65.69186307452696,4787,4794,tBell55G,55,tBell
mic_121617_103906,egh,4793,0.069265736,30,30,0.18204331328221984,0.9122506626837109,0.334005097050081,0.2371483155700161,0.9217028281196071,0.15659434376078596,0.1504638966363182,20.10934702749941,13.71829253411759,4784,4803,cBell78F#,78,cBell
mic_121617_103906,egh,5414,0.075818528,8,8,0.15274347829239684,0.383994112108538,0.8521370883919175,0.3555431119469493,0.9660661567637104,0.06786768647257913,0.066716180755794,65.74249126630707,20.826734121845593,5414,5414,cBell54G#,54,cBell
mic_121617_103906,egh,6038,0.082402976,367,367,0.222873544039235,-0.7916204047832198,-0.13613921132077764,-0.5956536324675675,0.9217749037553452,0.1564501924893098,0.1503310268068243,-170.241989432434,-36.55924211335183,6035,6042,tBellRes67G,67,tBellRes
mic_121617_103906,egh,6050,0.08252960000000001,355,355,0.15991277493241135,-0.6854300313169751,-0.007383589451701413,-0.7281010608257751,0.9740639746099392,0.0518720507801218,0.051199373367087915,-179.38282226997245,-46.7274346213447,6043,6057,tBellRes55G,55,tBellRes
mic_121617_103906,egh,6067,0.082708984,55,55,0.1760574718494073,-0.25923163897928675,-0.24829577612316675,-0.9333531833724612,0.9224387453129328,0.1551225093741342,0.14910676114550214,-136.23438030031218,-68.9636983813815,6063,6071,tBell55G,55,tBell
mic_121617_103906,egh,6107,0.083131064,177,177,0.21259438539902487,0.9812353386935658,0.1330479770088165,-0.1395544550087313,0.9337073547184096,0.13258529056318058,0.1281905757447498,7.721775201388164,-8.022065307403835,6100,6114,brassBellDry77F5,77,brassBellDry
mic_121617_103906,egh,6374,0.08594844800000001,12,12,0.224038038759802,0.7274938321728975,-0.6083490523783013,0.3172761488369636,1.0,2.220446049250313e-16,2.220446049250313e-16,-39.90323489652869,18.49827763958549,6339,6396,cBell60C,60,cBell
mic_121617_103906,egh,6489,0.08716192800000001,8,8,0.1795776900484005,-0.4790615450614623,0.16651725253367525,-0.861842236521256,0.6887035885438589,0.6225928229122821,0.5256873671268111,160.83303306892054,-59.52406264233952,6475,6501,cBell54G#,54,cBell
mic_121617_103906,egh,6675,0.08912460000000001,8,8,0.21999270359263712,-0.884270423159707,-0.32169184911518683,-0.3384969319474025,0.7842206422807385,0.4315587154385229,0.384997984220786,-160.00894113488278,-19.785325477544124,6670,6681,cBell54G#,54,cBell
mic_121617_103906,egh,6899,0.09148824800000001,8,8,0.18482923094212128,-0.3367003475976645,0.7328876909032098,-0.5911924462052716,0.924835643264225,0.15032871347155008,0.14467903294804718,114.6748081687076,-36.241673536835656,6895,6902,cBell54G#,54,cBell
mic_121617_103906,egh,6998,0.09253289599999999,8,8,0.25464072163951834,0.3072939829079923,0.9413484596405808,0.1394040372473076,0.9011798936123034,0.19764021277539312,0.1878747993489175,71.92123567850676,8.013361928929957,6989,7009,cBell54G#,54,cBell
mic_121617_103906,egh,7900,0.1020508,369,369,0.1937082843429591,-0.04445894263359172,0.3667175651719412,0.9292694064770808,0.9604148262432216,0.07917034751355656,0.07760336153220226,96.91250954165471,68.32121374598104,7898,7903,tBellRes69A,69,tBellRes
